fork,-0.0355,-0.0561,1.5279,1.5788,3.1322,1.5512,5.8018,0.1297,0.6593,3.5824,1.7931
pen,-0.0614,-0.1120,2.1847,2.2322,4.4407,2.1763,-6.5409,10.2471,0.6684,5.0674,1.8075
pen,0.0909,0.2010,1.8295,1.8767,3.7299,1.9784,-5.8273,0.1160,0.7405,4.9866,2.0225
pen,0.0384,0.0921,1.9982,2.0361,4.0533,2.0831,-6.1990,9.3521,0.7556,3.1272,2.9780
pen,0.0469,0.1091,2.5697,2.6403,5.2453,2.6981,7.3600,0.1051,0.7348,4.8021,3.3147
adopter,0.7652,2.8159,4.5497,5.9307,11.1760,7.3409,-11.9911,0.6936,0.8051,2.2186,0.6662
adopter,0.7534,2.5605,4.4586,4.9073,9.5904,6.1927,-11.1735,1.5406,0.8015,1.3982,0.7849
adopter,0.7554,2.6409,4.3310,4.9712,9.6223,6.2971,11.6032,1.5317,0.8056,1.8236,1.2109
adopter,0.7564,2.6419,4.2912,4.9996,9.6459,6.3238,10.8354,1.5269,0.8024,2.1317,0.9890
adopter,0.7592,2.6679,4.3793,5.4655,10.4020,6.8219,10.9873,0.6719,0.8306,2.1071,1.0895
adopter,0.7523,2.5570,4.4008,4.8621,9.4935,6.1406,-11.6660,0.6478,0.7955,1.8605,0.8968
toy,0.6574,2.0433,2.2819,3.3274,6.1348,4.3492,7.0806,0.7610,0.6139,3.8200,3.1460
toy,0.6899,2.1216,2.5500,3.5209,6.5564,4.5831,8.7245,1.3742,0.6518,3.4677,3.1342
toy,0.6899,2.1216,2.5500,3.5209,6.5564,4.5831,8.7245,1.3742,0.6518,3.4677,3.1342
toy,0.7034,2.1920,2.9340,4.7136,8.6266,5.8254,8.7740,1.2379,0.7153,2.4947,3.5753
toy,0.7154,2.2878,2.9398,4.6371,8.5042,5.7961,8.6840,0.8294,0.7205,3.0836,2.7543
toy,0.7065,2.2311,2.8886,4.5753,8.4467,5.7283,8.4695,1.2214,0.7170,3.4503,2.1103
toy,0.6771,2.0505,2.4643,3.4593,6.4212,4.4849,-8.1213,0.7239,0.6516,3.2997,3.0748
blade,0.7588,2.3666,4.5007,6.4891,-12.0955,-8.0893,12.1819,1.4980,0.8573,2.2594,1.0776
blade,0.7793,2.8660,4.1760,7.9999,14.0975,-9.9466,-14.7679,0.7943,0.8573,1.9895,1.5497
blade,0.7504,2.2532,4.7615,6.7179,13.4522,8.2382,12.4598,0.6490,0.8667,1.4533,1.5702
blade,0.7522,2.2754,4.7003,6.7559,12.5037,7.9067,-13.0152,0.6533,0.8672,1.4351,0.8740
blade,0.7655,2.4731,4.3809,6.3092,-11.6573,-7.5946,12.5853,1.4030,0.8599,1.9850,1.3240
blade,0.7622,2.4273,4.3972,6.5162,-12.0240,-7.7590,-12.3122,1.4615,0.8584,1.9284,1.2103
key,0.3988,1.0089,1.3777,1.6626,3.1828,2.1672,-5.2794,2.1567,0.4385,9.4916,3.0946
key,0.4250,1.0828,1.4260,1.7161,3.2872,2.2575,-4.9772,2.0853,0.4427,8.8260,4.0758
key,0.4206,1.0625,1.4062,1.6767,3.2181,2.2079,-6.2317,2.1575,0.4490,8.0432,3.1452
key,0.3893,0.9727,1.3619,1.6325,3.1297,2.1189,5.0414,0.4466,0.4466,5.1498,3.3368
key,0.4255,1.0766,1.4574,1.7358,3.3325,2.2741,5.3601,0.4663,0.4496,6.9127,3.3842
key,0.4553,1.1805,1.5133,1.8280,3.4986,2.4183,5.6285,1.9968,0.4551,6.7608,2.2132
key,0.3990,1.0002,1.4030,1.6851,3.2292,2.1853,5.3834,0.4606,0.4446,4.2969,5.4996
key,0.3893,0.9727,1.3619,1.6325,3.1297,2.1189,5.0414,0.4466,0.4466,5.1498,3.3368
key,0.4206,1.0625,1.4062,1.6767,3.2181,2.2079,-6.2317,2.1575,0.4490,8.0432,3.1452
tcap,0.7979,4.6229,5.8765,9.6097,18.5147,12.3026,17.3538,0.9673,0.7936,2.6692,2.6786
tcap,0.7979,4.6656,5.8255,9.9122,18.2588,12.5598,-17.8065,0.9647,0.7909,2.4175,1.8591
tcap,0.7979,4.6656,5.8255,9.9122,18.2588,12.5598,-17.8065,0.9647,0.7909,2.4175,1.8591
tcap,0.7981,5.6564,6.6812,12.9002,22.7188,16.1086,-23.1496,1.0048,0.7881,4.1612,2.1548
tcap,0.7981,5.6564,6.6812,12.9002,22.7188,16.1086,-23.1496,1.0048,0.7881,4.1612,2.1548
tcap,0.7977,4.4040,5.6940,9.0778,16.4740,11.2831,-17.1325,0.9679,0.7863,2.6777,1.8548
tcap,0.7981,5.9962,6.9926,11.9684,-22.4535,-15.2361,-21.4511,1.0000,0.7860,3.4752,1.9369
tcap,0.7981,4.9563,6.3208,10.4361,18.8378,13.0447,19.3114,1.0062,0.7875,3.6897,2.1185
tcap,0.7979,4.8865,5.5007,8.7475,15.8732,11.1917,16.9291,0.9936,0.7865,3.0952,2.1198
spoon,-0.0048,0.0256,0.2446,0.2926,0.5612,0.3054,3.7136,0.2065,0.4423,5.6378,5.6814
tcap,-0.0048,0.0256,0.2446,0.2926,0.5612,0.3054,3.7136,0.2065,0.4423,5.6378,5.6814
spoon,0.0314,0.0988,0.4431,0.4986,0.9694,0.5480,-4.7580,0.2122,0.4378,5.4092,1.5892
spoon,0.0668,0.1776,0.4077,0.4675,0.9051,0.5565,3.4942,4.3853,0.4363,2.8575,1.7565
spoon,-0.0048,0.0256,0.2446,0.2926,0.5612,0.3054,3.7136,0.2065,0.4423,5.6378,5.6814
spoon,0.0238,0.0865,0.2365,0.2818,0.5409,0.3250,3.7669,0.2086,0.4336,2.5168,2.1935
headphonebox,0.6576,1.9860,2.3743,3.5529,-8.0487,-5.3707,-6.5166,1.2143,0.6954,6255.1387,3491.8000
headphonebox,0.6280,1.5246,5.1324,6.2567,-11.9666,-7.0275,12.5335,0.3875,0.8585,3.1079,3.2185
headphonebox,0.7051,1.8867,5.0422,6.1452,12.5079,-8.8302,11.7453,0.5059,0.8814,7.0716,5.0264
card,0.7334,2.1914,6.9596,8.2673,-16.0167,-9.3877,16.0469,1.5886,0.9854,2.2643,1.4084
headphonebox,0.6439,1.5885,6.2453,7.2460,-15.1514,-8.5444,-13.9927,0.4106,0.8777,7.7102,3.4954
headphonebox,0.6431,1.5852,6.6447,7.7249,-15.1612,-8.6647,14.9916,2.4440,0.8749,8.2877,4.0796
headphonebox,0.6437,1.5873,6.0500,6.8892,13.5233,7.9780,13.4963,2.4403,0.8777,4.6739,3.4135
headphonebox,0.6459,1.5962,5.8863,6.7020,13.1227,7.7323,13.1736,2.4242,0.8748,2.9746,2.4391
headphonebox,0.6455,1.5941,6.2055,7.0797,14.0205,8.6153,-13.7857,2.3853,0.8569,6.8562,3.0043
headphonebox,0.6482,1.6045,7.7456,8.6076,-16.8768,-9.4776,-17.0138,2.3533,0.8518,11.0823,4.2813
headphonebud,0.7121,2.1315,2.8235,3.9282,7.4664,5.2673,-7.4432,1.2680,0.6822,2.4275,1.9152
headphonebud,0.7250,2.1317,3.1601,4.4112,-8.3298,-5.5940,-8.3664,0.6520,0.7330,10.5309,2.1700
headphonebud,0.7281,2.2341,3.0215,4.2090,8.0606,5.6383,7.9133,1.0757,0.6493,7.1250,2.5838
